commit	val_bpb	memory_gb	status	description
6f644d7b393bb1cc218d4e0a93fd30898a69b5da	0.561008	2.3	discard	Exp 267: Muon momentum warmup 500 steps (worse, 300 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.555396	2.3	discard	Exp 268: x0_lambdas init=0.2 (worse, 0.1 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.563617	2.3	discard	Exp 269: FINAL_LR_FRAC=0.05 (worse, 0.0 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.581469	2.3	discard	Exp 270: resid_lambdas init=0.9 (much worse, 1.0 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.563740	2.3	discard	Exp 271: Muon final momentum=0.97 (worse, 0.95 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.552038	2.3	discard	Exp 272: ns_steps=6 (slightly worse, 5 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.559505	2.3	discard	Exp 273: SCALAR_LR=0.4 (worse, 0.5 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.574497	2.3	discard	Exp 274: MLP_RATIO=4 (worse, 3 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.561424	2.3	discard	Exp 275: ve_gate_channels=32 (worse, 28 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.556807	2.3	discard	Exp 276: TIME_BUDGET=430s (worse, 420s optimal)
062501b039363eab8fe93ee4fee8511985673818	0.562612	2.3	discard	Exp 277: WEIGHT_DECAY=0.15 (worse, 0.2 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.566305	2.3	discard	Exp 278: softcap=30 (worse, 15 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.559255	2.3	discard	Exp 279: softcap=10 (worse, 15 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.571308	2.3	discard	Exp 280: ROPE_BASE=5000 (worse, 10000 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.555531	2.3	discard	Exp 281: ROPE_BASE=50000 (worse, 10000 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.553657	2.3	discard	Exp 282: WARMDOWN_RATIO=0.4 (worse but closer, 0.5 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.553734	2.3	discard	Exp 283: WARMDOWN_RATIO=0.6 (worse, 0.5 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.560094	2.3	discard	Exp 284: ADAM_BETAS=(0.85,0.95) (worse, (0.8,0.95) optimal)
062501b039363eab8fe93ee4fee8511985673818	0.560679	2.3	discard	Exp 285: ve_gate scale=3 (worse, scale=2 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.557398	2.3	discard	Exp 286: ve_gate scale=1.5 (worse, scale=2 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.556193	2.3	discard	Exp 287: Muon init momentum=0.90 (worse, 0.85 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.563288	2.3	discard	Exp 288: MATRIX_LR=0.042 (worse, 0.04 optimal)
062501b039363eab8fe93ee4fee8511985673818	0.563915	2.3	discard	Exp 289: constant WD no annealing (worse, annealed optimal)
062501b039363eab8fe93ee4fee8511985673818	0.562684	2.3	discard	Exp 290: cosine LR warmdown (worse, linear optimal)
c8a281c	0.549389	2.3	keep	Exp 291: TOTAL_BATCH_SIZE=2^15 (NEW BEST 0.549389)
c8a281c4225ef836874bf52544260df9e45d7670	0.563244	2.3	discard	Exp 292: TOTAL_BATCH_SIZE=2^16 (worse, 2^15 optimal)
c8a281c4225ef836874bf52544260df9e45d7670	0.562613	2.3	discard	Exp 293: 2^15 + MATRIX_LR=0.057 sqrt2 scaled (worse)
c8a281c4225ef836874bf52544260df9e45d7670	0.558794	2.3	discard	Exp 294: 2^15 + EMBEDDING_LR=1.7 (worse, 1.2 optimal)
